rank,level,function,calls,time
0,0,acceleration_eval_1,54236,507.42838644981384
0,0,acceleration_eval_0,54236,113.18984389305115
0,0,Solver.dump_output,273,19.15504550933838
0,0,nnps.update,54236,12.873111248016357
0,0,Integrator.stage2,54236,7.298431396484375
0,0,Integrator.stage1,54236,7.270856142044067
0,0,Integrator.stage3,54236,5.277742862701416
0,0,Integrator.update_domain,54236,0.4866828918457031
0,0,Solver._get_timestep,54237,0.13347458839416504
0,0,Solver.post_step_callback,54236,0.044466257095336914
0,0,AccelerationEval.Group_13,1,0.01015162467956543
0,0,Integrator.initial_acceleration,1,0.009362459182739258
0,0,AccelerationEval.Group_14,1,6.747245788574219e-05
0,0,AccelerationEval.Group_15,1,4.38690185546875e-05
0,1,AccelerationEval.Group_7,54236,116.33574628829956
0,1,AccelerationEval.Group_1,54237,109.6720666885376
0,1,AccelerationEval.Group_4,54236,99.56325316429138
0,1,AccelerationEval.Group_3,54236,99.04243469238281
0,1,AccelerationEval.Group_6,54236,53.32901906967163
0,1,AccelerationEval.Group_5,54236,52.56799054145813
0,1,AccelerationEval.Group_8,54236,50.77492690086365
0,1,AccelerationEval.Group_10,54236,13.401117086410522
0,1,AccelerationEval.Group_11,54236,10.977954864501953
0,1,AccelerationEval.Group_9,54236,4.028939962387085
0,1,AccelerationEval.Group_2,54236,3.8869733810424805
0,1,AccelerationEval.Group_0,54237,3.18914532661438
0,1,AccelerationEval.Group_12,54236,2.868535041809082
0,1,AccelerationEval.Group_13_d_rigid_body_combined.initialize,1,0.010012149810791016
0,1,AccelerationEval.Group_13_d_rigid_body_combined_s_rigid_body_combined.loop,1,0.00011420249938964844
0,1,AccelerationEval.Group_14_d_rigid_body_combined_s_rigid_body_combined.loop,1,4.863739013671875e-05
0,1,AccelerationEval.Group_15_d_rigid_body_combined_s_rigid_body_combined.loop,1,2.5987625122070312e-05
0,1,AccelerationEval.Group_14_d_rigid_body_combined.post_loop,1,1.5735626220703125e-05
0,1,AccelerationEval.Group_13_d_rigid_body_combined.post_loop,1,1.5020370483398438e-05
0,1,AccelerationEval.Group_15_d_rigid_body_combined.initialize,1,1.4781951904296875e-05
0,2,AccelerationEval.Group_7_d_fluid_s_fluid.loop,54236,58.64611196517944
0,2,AccelerationEval.Group_1_d_fluid_s_fluid.loop,54237,56.49999117851257
0,2,AccelerationEval.Group_8_d_rigid_body_combined_slave_s_fluid.loop,54236,46.813133001327515
0,2,AccelerationEval.Group_6_d_rigid_body_combined_slave_s_fluid.loop,54236,46.25449347496033
0,2,AccelerationEval.Group_5_d_rigid_body_combined_slave_s_fluid.loop,54236,45.33380579948425
0,2,AccelerationEval.Group_3_d_tank_s_fluid.loop,54236,43.21274161338806
0,2,AccelerationEval.Group_4_d_tank_s_fluid.loop,54236,42.93716812133789
0,2,AccelerationEval.Group_4_d_stirrer_s_fluid.loop,54236,42.82779932022095
0,2,AccelerationEval.Group_3_d_stirrer_s_fluid.loop,54236,42.633750915527344
0,2,AccelerationEval.Group_7_d_fluid_s_rigid_body_combined_slave.loop,54236,26.192077159881592
0,2,AccelerationEval.Group_1_d_fluid_s_rigid_body_combined_slave.loop,54237,24.402264833450317
0,2,AccelerationEval.Group_7_d_fluid_s_tank.loop,54236,13.976063013076782
0,2,AccelerationEval.Group_7_d_fluid_s_stirrer.loop,54236,13.931246995925903
0,2,AccelerationEval.Group_1_d_fluid_s_tank.loop,54237,12.974473714828491
0,2,AccelerationEval.Group_1_d_fluid_s_stirrer.loop,54237,12.878788709640503
0,2,AccelerationEval.Group_11_d_rigid_body_combined_slave_s_stirrer.loop,54236,10.89494800567627
0,2,AccelerationEval.Group_10_d_rigid_body_combined_master_s_rigid_body_combined_master.loop,54236,6.3229241371154785
0,2,AccelerationEval.Group_9_d_rigid_body_combined_master_s_rigid_body_combined_master.initialize_pair,54236,3.8857717514038086
0,2,AccelerationEval.Group_8_d_rigid_body_combined_slave.initialize,54236,3.837540864944458
0,2,AccelerationEval.Group_5_d_rigid_body_combined_slave.post_loop,54236,3.8048367500305176
0,2,AccelerationEval.Group_2_d_rigid_body_combined_slave_s_rigid_body_combined_master.initialize_pair,54236,3.740558624267578
0,2,AccelerationEval.Group_4_d_stirrer.post_loop,54236,3.59012508392334
0,2,AccelerationEval.Group_6_d_rigid_body_combined_slave.post_loop,54236,3.582245111465454
0,2,AccelerationEval.Group_4_d_tank.post_loop,54236,3.566929340362549
0,2,AccelerationEval.Group_10_d_rigid_body_combined_master.initialize,54236,3.4588329792022705
0,2,AccelerationEval.Group_3_d_tank.post_loop,54236,3.422677993774414
0,2,AccelerationEval.Group_10_d_rigid_body_combined_master_s_rigid_body_wall.initialize_pair,54236,3.3972318172454834
0,2,AccelerationEval.Group_6_d_rigid_body_combined_slave.initialize,54236,3.3303208351135254
0,2,AccelerationEval.Group_3_d_stirrer.post_loop,54236,3.319729804992676
0,2,AccelerationEval.Group_7_d_fluid.initialize,54236,3.309232234954834
0,2,AccelerationEval.Group_4_d_stirrer.initialize,54236,3.2753334045410156
0,2,AccelerationEval.Group_5_d_rigid_body_combined_slave.initialize,54236,3.2657651901245117
0,2,AccelerationEval.Group_3_d_tank.initialize,54236,3.083326816558838
0,2,AccelerationEval.Group_4_d_tank.initialize,54236,3.064340353012085
0,2,AccelerationEval.Group_3_d_stirrer.initialize,54236,3.0586211681365967
0,2,AccelerationEval.Group_0_d_rigid_body_combined_slave_s_rigid_body_combined_master.initialize_pair,54237,3.0397398471832275
0,2,AccelerationEval.Group_12_d_rigid_body_combined_master_s_rigid_body_combined_slave.initialize_pair,54236,2.736708402633667
0,2,AccelerationEval.Group_1_d_fluid.initialize,54237,2.6338932514190674
0,2,AccelerationEval.Group_2_d_rigid_body_combined_slave_s_rigid_body_combined_master.loop,54236,0.0240323543548584
0,2,AccelerationEval.Group_0_d_rigid_body_combined_slave_s_rigid_body_combined_master.loop,54237,0.023851871490478516
0,2,AccelerationEval.Group_9_d_rigid_body_combined_master_s_rigid_body_combined_master.loop,54236,0.019426584243774414
0,2,AccelerationEval.Group_10_d_rigid_body_combined_master_s_rigid_body_wall.loop,54236,0.01909160614013672
0,2,AccelerationEval.Group_12_d_rigid_body_combined_master_s_rigid_body_combined_slave.loop,54236,0.019076824188232422
